par_id,art_id,keyword,country,text,clean_text,label,orig_label
5460_gemini2,@@20717748,hopeless,nz,Once again the stateless Rohingya are on the run -- homeless and increasingly hopeless .,"Once more, the stateless Rohingya find themselves fleeing—bereft of home and increasingly devoid of hope.",1,3
882_syn1,@@25569923,poor-families,pk,"""QUETTA : Pakistan Tehreek-e-Insaf ( PTI ) Balochistan President Yar Muhammad Rind has said that PTI will be victorious on July 25 . """" After the victory , education and health sectors will be given proper attention as we shall hand over pens to the children of poor families , """" said the PTI provincial president while addressing a corner meeting in Naseerabad on Monday .""","""QUETTA : Pakistan Tehreek-e-Insaf ( PTI ) Balochistan President Yar Muhammad Rind has enunciate that PTI will be victorious on July 25 . """" After the victory , education and health sectors will be given proper attention as we shall hand over pens to the children of poor families , """" said the PTI provincial president while addressing a corner meeting in Naseerabad on Monday .""",1,4
382_syn1,@@1373666,in-need,us,"""Dr. Lester Keith , doctor and professor of business administration , and others are checking with local transportation groups to see if they can bring those in need of a meal to the college for the 4 p.m. dinner . """" We will also be contacting local soup kitchens as a pickup location and will work with them to transport any leftovers to them so there is no wasted food , """" Dr. Keith said .""","""Dr. Lester Keith , doctor and professor of byplay administration , and others are checking with local transportation groups to see if they can bring those in need of a meal to the college for the 4 p.m. dinner . """" We will also be contacting local soup kitchens as a pickup location and will work with them to transport any leftovers to them so there is no wasted food , """" Dr. Keith said .""",1,3
882_gemini2,@@25569923,poor-families,pk,"""QUETTA : Pakistan Tehreek-e-Insaf ( PTI ) Balochistan President Yar Muhammad Rind has said that PTI will be victorious on July 25 . """" After the victory , education and health sectors will be given proper attention as we shall hand over pens to the children of poor families , """" said the PTI provincial president while addressing a corner meeting in Naseerabad on Monday .""","QUETTA: Pakistan Tehreek-e-Insaf (PTI) Balochistan President Yar Muhammad Rind declared PTI's assured victory on July 25. 'Upon our triumph, the education and health sectors will receive our full attention, as we intend to equip the children from impoverished households with pens,' stated the PTI provincial president during a corner meeting in Naseerabad on Monday.",1,4
8321_dup2,@@2889824,homeless,gb,""""""" Then , driving past the queue of homeless people I just thought something is not right here . It really struck me the contrast between those who had comfortable homes and those who had nothing . """"""",""""""" Then , driving past the queue of homeless people I just thought something is not right here . It really struck me the contrast between those who had comfortable homes and those who had nothing . """"""",1,4
966_gemini2,@@4615045,homeless,jm,The group became so highly concerned with a homeless man whose plight was brought to national attention by the local news station when Tropical Storm Nicole struck the island back in September 2010 that they arranged with the St. Joseph ? s Golden Age Home to have the homeless man admitted as a resident . It was that episode that provided the impetus to make the St. Joseph ? s Golden Age Home Christmas Treat a now annual charity event on the social commentary group ? s calendar .,"Deeply moved by the predicament of an unhoused man, whose struggles gained national visibility via local news during Tropical Storm Nicole in September 2010, the group successfully arranged for his admission as a resident at St. Joseph's Golden Age Home. This incident then inspired them to establish the St. Joseph's Golden Age Home Christmas Treat as an annual charity event on their social commentary group's calendar.",1,2
5180_dup1,@@21237825,in-need,jm,"The words of Desmond Tutu , rings true for 31 year old Ayesha Allen , president of the Gift of Love Ja . who believes that championing the cause of those in need and starting a charity to fulfil it is a part of God 's plan for her life .","The words of Desmond Tutu , rings true for 31 year old Ayesha Allen , president of the Gift of Love Ja . who believes that championing the because of those in need and starting a charity to fulfil it is a part of God 's plan for her life .",1,4
8123_dup2,@@22850364,in-need,lk,"""Dinu had developed a theme of life . It was , """" The circumstances of your life do n't and should n't describe or dictate the quality of your personality . """" Dinu did n't let these new and trying circumstances change any aspect of her character or her life . Though she herself was sick and in pain , she still took time to visit if a friend or relative was sick . Though she was in need , she was always there to help others when needed . She always had time to talk to her friends . Dinu 's Bible theme verse was Col 4:2 """" Continue earnestly in prayer , being vigilant in it with thanksgiving . """"""","""Dinu had developed a theme of life . It was , """" The circumstances of your life do n't and should n't describe or dictate the quality of your personality . """" Dinu did n't let these new and trying circumstances change any aspect of her character or her life . Though she herself was sick and in pain , she still took time to visit if a friend or relative was sick . Though she was in need , she was always there to help others when needed . She always had time to talk to her friends . Dinu 's Bible theme verse was Col 4:2 """" Continue earnestly in prayer , being vigilant in it with thanksgiving . """"""",1,3
6027_syn1,@@4613219,homeless,jm,"As a member of Care of Hope , Barnett provides food for the street people catered to by the foundation on a regular basis . She , however , does n't mind having to cook to feed the homeless and the needy she said , because this is basically something that is already up her alley .","As a member of Care of Hope , Barnett provides food for the street people catered to by the foundation on a regular basis . She , however , does n't mind having to cook to feed the homeless and the destitute she said , because this is basically something that is already up her alley .",1,4
10191_syn1,@@7199810,poor-families,nz,""""""" What poor families really need is more money . The government 's weak response is to give beneficiaries with children an extra $25 a week starting April 1st . Sure , that will help some families but it is really tip of the iceberg stuff .""",""""""" What poor families really need is more money . The government 's weak response is to feed beneficiaries with children an extra $25 a hebdomad starting April 1st . Sure , that will help some families but it is really tip of the iceberg stuff .""",1,3
8630_dup1,@@7711150,poor-families,ph,""""""" Every family which qualifies for the program should be covered . Every child in poor families must be placed and kept in school , and they should enjoy health and nutrition assistance , Romualdez said .""",""""""" Every family which qualifies for the program should be covered . Every child in poor families must be placed and kept in school , and they should enjoy health and nutrition assistance , Romualdez said .""",1,2
635_dup1,@@21887650,poor-families,ng,"He would n't tolerate nonsense and he never allowed anybody to intimidate him . He was wealthy and very comfortable , and with his wealth was very generous and kind . In every three months , we had banquet for all the chiefs in my community . After that of chiefs , he would organise ours for us and the children from poor families . He used to tell us that being comfortable did not mean we were special , as God had created everyone equally .","He would n't tolerate nonsense and he never allowed anybody to intimidate him . He was wealthy and very comfortable , and with his wealth was very generous and kind . In every three months , we had banquet for all the chiefs in my community . After that of chiefs , he would organise ours for us and the children from poor families . He used to tell us that being comfortable did not mean we were special , as God had created everyone equally .",1,2
2921_dup2,@@17477891,vulnerable,sg,"His case demonstrates the fearful , precarious existence of Mexican immigrants today as a result of Donald Trump 's severe deportation policies . The looming threat that millions of undocumented immigrants will be arrested and sent back to Mexico can be expected to give rise to mental health challenges in this vulnerable population .","His case demonstrates the fearful , precarious existence of Mexican immigrants today as a result of Donald Trump 's severe deportation policies . The looming threat that millions of undocumented immigrants will be arrested and sent back to Mexico can be expected to give rise to mental health challenges in this vulnerable population .",1,3
1760_dup1,@@25234824,homeless,ca,The city is in the midst of an ambitious plan to offer recreation classes in activities like yoga and tai chi to the homeless .,The city is in the midst of an ambitious plan to offer recreation classes in activities like yoga and tai chi to the homeless .,1,3
7387_gemini2,@@1804102,in-need,ng,I have been interested and passionate about what I can do to help better the lives of children who are less privileged . I hope to achieve my dream of creating a haven for children in need of education and proper health care .,I have always felt a deep interest and passion for how I can contribute to improving the lives of children who are less fortunate. It is my aspiration to fulfill my dream of establishing a sanctuary for children who are in desperate need of education and proper health care.,1,4
1363_dup1,@@4623892,women,jm,"Women are generally not as competitive as men , and not as motivated by job prestige . We want to actualise but not necessarily in the same ways as men . While men may want to lead conglomerates , corporations and boards , women are generally content to have a good , secure job with an attractive salary . Some women do pursue power positions , but many are not interested . They do n't want the hassle .","Women are generally not as competitive as men , and not as motivated by job prestige . We want to actualise but not necessarily in the same ways as men . While men may want to lead conglomerates , corporations and boards , women are generally content to have a good , secure job with an attractive salary . Some women do pursue power positions , but many are not interested . They do n't want the hassle .",1,4
2000_gemini2,@@25796035,poor-families,lk,"It is encouraging to note that the poor families all over India now realise that the best that they can do for their children is to provide them quality education , that would enable them to equip themselves to improve their life prospects . Parents keep track of the progress of their children in the schools as best as they can , given their poverty conditions and day today struggle to make a living .","It is genuinely heartening to observe that India's impoverished families are finally grasping that the most profound gift they can bestow upon their children is a quality education, empowering them to rise above their circumstances, even as these parents, in their daily struggle for survival, diligently monitor their children's progress as best they can.",1,3
9410_syn1,@@2424134,vulnerable,ie,"She was only 26 at the time and looks like a trapped , wounded animal backed into a corner and staring straight down the barrel of a gun . The raw anguish she exudes in that picture emotes the harsh realities of heroin addiction as this truly vulnerable and broken soul cries out for help behind tear-filled eyes .","She was only 26 at the time and looks like a trapped , wounded animal backed into a corner and staring straight down the barrel of a gun . The raw anguish she exudes in that picture emote the harsh realities of heroin addiction as this truly vulnerable and broken soul cries out for help behind tear-filled eyes .",1,3
